V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
142.274,107.726,73.5035,80.0228,150.248,96.8919,41.2972,29.9879,23.7651,18.8418,8.90608,6.62612,4.41393,4.46367,4.38299,4.19251,4.14553,4.16994,4.23817,4.28814
327.506,122.456,92.72,63.2645,68.8746,129.311,83.3794,35.5253,25.7708,20.3658,16.0226,7.42301,5.27651,3.25127,3.01907,2.79808,2.60358,2.54621,2.56121,5.23693
180.271,281.887,105.399,79.8046,54.4518,59.2796,111.292,71.7521,30.5608,22.1477,17.454,13.6253,6.18154,4.17674,2.33601,1.91932,1.61941,1.436,1.40436,4.30106
280.595,155.16,242.622,90.7178,68.6883,46.8668,51.0213,95.7836,61.7464,26.2903,19.0345,14.9595,11.5893,5.15232,3.31908,1.70311,1.26563,0.994307,0.881695,3.50309
274.373,241.511,133.548,208.827,78.0815,59.1204,40.3383,43.9135,82.4363,53.1352,22.6147,16.3532,12.8045,9.80868,4.21729,2.47181,1.00455,0.488516,0.383788,1.69246
360.874,236.154,207.867,114.94,179.711,67.1741,50.8142,34.5772,37.3773,69.1691,43.7689,18.3759,13.2018,10.3115,7.89225,3.39235,1.98812,0.807949,0.39291,1.66992
653.349,310.524,203.112,178.568,98.4429,152.905,56.5197,42.2219,28.4737,30.6392,56.5906,35.7827,15.0188,10.7888,8.42644,6.44939,2.77215,1.62464,0.660235,1.68569
666.766,562.158,267.023,174.375,152.687,83.4865,128.188,46.9168,34.856,23.4511,25.2123,46.5522,29.432,12.3528,8.87354,6.93052,5.30444,2.28001,1.33622,1.92945
615.804,573.802,483.607,229.449,149.319,129.578,69.731,105.409,38.2521,28.3266,19.038,20.461,37.7755,23.8823,10.0235,7.20027,5.62364,4.30419,1.85007,2.64987
1010.65,529.998,493.796,416.047,197.217,128.015,110.348,58.5236,86.5501,30.7952,22.5536,15.0878,16.1879,29.8688,18.8797,7.9233,5.6915,4.44521,3.40225,3.55698
874.832,869.729,455.97,424.515,356.995,168.402,108.017,90.7138,45.972,64.3592,21.9348,15.6874,10.3834,11.0926,20.433,12.9071,5.41545,3.88969,3.03795,4.75608
835.076,752.773,747.902,391.272,361.989,300.037,138.779,87.7994,73.3074,37.0794,51.8796,17.6785,12.6427,8.36806,8.93954,16.4669,10.4019,4.36431,3.1347,6.28121
1414.25,718.735,647.844,643.442,336.209,309.687,253.428,114.595,71.152,58.9353,29.7377,41.5802,14.1665,10.1306,6.70526,7.16316,13.1948,8.3349,3.49708,7.54487
2165.87,1216.89,618.062,556.088,549.426,283.241,254.05,201.19,88.885,54.596,45.0399,22.695,31.7183,10.8049,7.72632,5.11382,5.46301,10.063,6.35663,8.42116
751.508,1863.24,1045.77,529.486,472.056,455.308,223.411,187.938,141.927,61.3015,37.3348,30.7107,15.4599,21.5998,7.35723,5.26082,3.48194,3.71969,6.85177,10.062
643.514,646.747,1602.98,898.623,453.07,398.4,370.693,171.927,138.508,102.688,44.0941,26.8098,22.0428,11.095,15.5008,5.27977,3.77531,2.49873,2.66935,12.1378
1442.41,553.81,556.462,1378.26,771.143,386.77,336.042,306.511,139.325,110.862,81.7454,35.0298,21.2833,17.4946,8.80495,12.3011,4.18986,2.99596,1.98291,11.7504
711.898,1241.39,476.578,478.734,1185,662.044,330.933,285.395,256.436,113.645,87.5542,62.7097,26.3659,15.8597,12.9758,6.51727,9.09704,3.09738,2.21478,10.1525
366.867,612.704,1068.34,410.075,411.77,1018.33,567.74,282.47,241.195,212.69,91.5741,68.2728,47.6164,19.6973,11.7506,9.57715,4.80212,6.69805,2.28057,9.10588
542.332,315.762,527.344,919.453,352.871,354.179,874.867,486.194,239.891,200.957,171.315,70.9277,51.4119,35.3559,14.5415,8.65609,7.04942,3.53368,4.92882,8.37881
286.298,466.779,271.764,453.827,791.105,303.451,304.166,748.841,412.925,200.417,163.264,134.575,54.2252,38.6951,26.4161,10.831,6.43925,5.24143,2.62738,9.89458
278.206,246.418,401.757,233.902,390.58,680.751,261.01,261.312,641.217,350.531,166.756,131.1,103.741,40.6122,28.5734,19.3953,7.93551,4.71425,3.83732,9.16748
383.692,239.454,212.093,345.793,201.318,336.157,585.837,224.554,224.632,549.963,298.812,140.018,106.784,81.0406,30.6295,21.1385,14.2318,5.80495,3.44855,9.51322
219.987,330.246,206.1,182.55,297.625,173.273,289.32,504.167,193.199,193.114,471.704,254.567,117.059,85.1847,59.111,20.0475,12.809,8.31377,3.39107,7.57186
336.756,189.341,284.234,177.377,157.095,256.076,149.025,248.628,432.54,165.212,164.153,397.064,211.469,95.8884,68.9838,47.509,16.0436,10.2279,6.63849,8.75383
314.047,289.844,162.961,244.622,152.64,135.153,220.186,127.981,212.955,368.504,139.416,136.624,325.579,171.362,77.1408,55.2871,38.0076,12.8245,8.17569,12.3038
666.997,270.291,249.446,140.231,210.445,131.237,116.051,188.547,108.991,179.587,306.33,114.057,110.316,260.698,136.598,61.3567,43.9297,30.1857,10.1852,16.2649
1037.49,574.046,232.605,214.632,120.619,180.888,112.652,99.3688,160.772,92.3892,151.229,256.479,95.1143,91.7763,216.61,113.424,50.9313,36.4597,25.0528,21.9525
1229.31,892.913,494.004,200.127,184.566,103.598,154.954,95.9945,83.9317,134.287,76.3989,124.234,209.962,77.7364,74.9539,176.851,92.5928,41.5749,29.7618,38.3701
923.733,1058,768.413,425.034,172.102,158.545,88.7805,132.171,81.251,70.3559,111.59,63.1199,102.322,172.675,63.8887,61.5841,145.287,76.0629,34.1529,55.9689
746.552,795.019,910.504,661.144,365.503,147.801,135.733,75.4949,111.042,67.1917,57.3765,90.2218,50.8181,82.2293,138.662,51.2887,49.4326,116.614,61.0516,72.336
892.496,642.523,684.172,783.371,568.5,313.849,126.508,115.421,63.5097,92.2436,55.26,46.9153,73.5695,41.3896,66.9402,112.858,41.7409,40.2291,94.9025,108.553
278.217,768.146,552.961,588.689,673.693,488.24,268.627,107.472,96.796,52.4705,75.368,44.8886,38.0149,59.5539,33.4921,54.1599,91.3064,33.7693,32.5462,164.6
110.018,239.457,661.097,475.826,506.339,578.688,417.878,227.952,89.8391,79.6149,42.7094,61.0607,36.3033,30.7253,48.1241,27.0622,43.7611,73.7749,27.2854,159.293
77.902,94.6907,206.084,568.862,409.234,434.846,494.98,353.827,189.154,72.6057,63.0374,33.4668,47.6486,28.2869,23.9281,37.4712,21.0704,34.0713,57.4392,145.265
53.3355,67.0497,81.4969,177.352,489.413,351.789,372.932,421.863,297.288,155.225,58.1784,49.7742,26.2542,37.2883,22.1173,18.7037,29.2867,16.4676,26.6285,158.424
100.487,45.9048,57.7056,70.1307,152.569,420.691,301.8,318.446,356.57,246.663,125.664,46.0777,38.8886,20.3764,28.8571,17.0963,14.4509,22.6234,12.7209,142.949
120.679,86.4884,39.5084,49.6599,60.3365,131.166,360.963,257.644,268.664,294.23,197.796,98.4517,35.6408,29.9129,15.6393,22.1304,13.1072,11.0778,17.3427,119.334
158.777,103.862,74.4286,33.9912,42.7003,51.8086,112.261,306.691,215.674,219.314,232.727,152.2,74.4481,26.7128,22.3295,11.6543,16.4794,9.75729,8.24657,101.745
80.5199,136.65,89.3775,64.0319,29.2248,36.6588,44.3303,95.3752,257.102,177.238,176.412,184.18,119.323,58.0989,20.8036,17.3745,9.06469,12.8156,7.58801,85.538
435.205,69.3033,117.612,76.9217,55.1012,25.1402,31.5076,38.0167,81.3543,216.775,146.472,142.32,145.795,93.4622,45.29,16.1853,13.507,7.04485,9.95998,72.3752
713.113,374.574,59.646,101.214,66.1841,47.3879,21.5985,27.0062,32.4247,68.7265,180.312,119.537,114.21,115.711,73.7389,35.6314,12.7173,10.6069,5.53225,64.657
852.928,613.77,322.382,51.3314,87.0888,56.9209,40.7091,18.5039,22.9952,27.2753,56.729,145.795,95.1778,90.1644,90.9883,57.8857,27.9515,9.97346,8.31839,55.0453
712.748,734.051,528.159,277.335,44.1295,74.7595,48.7064,34.6112,15.5579,19.0426,22.2481,45.7678,116.886,76.0679,71.9574,72.5682,46.154,22.2838,7.95117,50.5156
1076.34,613.432,631.698,454.372,238.377,37.838,63.7089,40.9932,28.6372,12.6924,15.4186,17.9579,36.8996,94.1993,61.2948,57.9796,58.4708,37.1877,17.9548,47.1085
2117.55,926.344,527.88,543.43,390.581,204.524,32.3241,53.953,34.247,23.5764,10.3387,12.4877,14.5067,29.7759,75.9807,49.4316,46.7549,47.1497,29.9875,52.4657
420.056,1822.42,797.068,453.919,466.384,333.412,172.524,26.8055,44.1326,27.8246,19.1064,8.37137,10.1086,11.7419,24.1004,61.4976,40.009,37.8425,38.1621,66.736
440.236,361.536,1568.42,685.803,390.204,399.757,283.75,145.383,22.4396,36.8494,23.2145,15.9373,6.9824,8.43125,9.7935,20.1012,51.2928,33.37,31.563,87.4915
